,best_K_MODEL,best_lambda_tau,best_test_auc
entity_data_imputation,100.0,5.0,0.970678734091255
entity_matching,100.0,20.0,0.9437052141191636
raft,100.0,5.0,0.880498729303742
imdb,100.0,5.0,0.8711100357723995
math,100.0,40.0,0.859772362822195
air_bench_2024,100.0,30.0,0.857730467481456
gsm,100.0,40.0,0.8362398571020857
synthetic_reasoning,100.0,25.0,0.8313443302339444
wikifact,50.0,50.0,0.8310872961257659
boolq,100.0,20.0,0.8105555912906575
babi_qa,100.0,25.0,0.8063267607390522
truthful_qa,100.0,5.0,0.8029360797308145
civil_comments,50.0,5.0,0.7885583984990339
commonsense,100.0,80.0,0.7770410052999132
legalbench,50.0,100.0,0.7590715139720703
mmlu,100.0,100.0,0.7479500656999062
dyck_language_np=3,50.0,40.0,0.7450853704111975
med_qa,50.0,100.0,0.7118926219127019
bbq,50.0,100.0,0.675478723608151
thai_exam,100.0,50.0,0.6643211937902892
legal_support,100.0,75.0,0.5447488539891916
lsat_qa,50.0,50.0,0.4946187186587734
