task_id,text_input
django__django-11790,"AuthenticationForm's username field doesn't set maxlength HTML attribute.
Description
	
AuthenticationForm's username field doesn't render with maxlength HTML attribute anymore.
Regression introduced in #27515 and 5ceaf14686ce626404afb6a5fbd3d8286410bf13.
​https://groups.google.com/forum/?utm_source=digest&utm_medium=email#!topic/django-developers/qnfSqro0DlA
​https://forum.djangoproject.com/t/possible-authenticationform-max-length-regression-in-django-2-1/241"
django__django-11815,"Migrations uses value of enum object instead of its name.
Description
	 
		(last modified by oasl)
	 
When using Enum object as a default value for a CharField, the generated migration file uses the value of the Enum object instead of the its name. This causes a problem when using Django translation on the value of the Enum object. 
The problem is that, when the Enum object value get translated to the users language, the old migration files raise an error stating that the Enum does not have the corresponding value. (because the Enum value is translated to another language)
Example:
Let say we have this code in models.py:
from enum import Enum
from django.utils.translation import gettext_lazy as _
from django.db import models
class Status(Enum):
	GOOD = _('Good') # 'Good' will be translated
	BAD = _('Bad') # 'Bad' will be translated
	def __str__(self):
		return self.name
class Item(models.Model):
	status = models.CharField(default=Status.GOOD, max_length=128)
In the generated migration file, the code will be:
...
('status', models.CharField(default=Status('Good'), max_length=128))
...
After the translation, 'Good' will be translated to another word and it will not be part of the Status Enum class any more, so the migration file will raise the error on the previous line:
ValueError: 'Good' is not a valid Status
Shouldn't the code generated by the migration uses the name of the Status Enum 'GOOD', not the value of it, since it is changeable?
It should be:
('status', models.CharField(default=Status['GOOD'], max_length=128))
This will be correct regardless of the translated word"
django__django-11848,"django.utils.http.parse_http_date two digit year check is incorrect
Description
	 
		(last modified by Ad Timmering)
	 
RFC 850 does not mention this, but in RFC 7231 (and there's something similar in RFC 2822), there's the following quote:
Recipients of a timestamp value in rfc850-date format, which uses a
two-digit year, MUST interpret a timestamp that appears to be more
than 50 years in the future as representing the most recent year in
the past that had the same last two digits.
Current logic is hard coded to consider 0-69 to be in 2000-2069, and 70-99 to be 1970-1999, instead of comparing versus the current year."
django__django-11880,"Form Field’s __deepcopy__ does not (deep)copy the error messages.
Description
	
The __deepcopy__ method defined for the formfields (​https://github.com/django/django/blob/146086f219d01dbb1cd8c089b5a5667e396e1cc4/django/forms/fields.py#L200) performs a shallow copy of self and does not include additional treatment for the error_messages dictionary. As a result, all copies of the same field share the same dictionary and any modification of either the dictionary or the error message itself for one formfield is immediately reflected on all other formfiels.
This is relevant for Forms and ModelForms that modify the error messages of their fields dynamically: while each instance of the specific form (e.g., ProfileForm) is expected to have a set of fields “sealed” away from other instances of the same ProfileForm (​https://github.com/django/django/blob/146086f219d01dbb1cd8c089b5a5667e396e1cc4/django/forms/forms.py#L95), in fact all these instances share the same error messages, resulting in incorrectly raised errors.
Confirmed for versions of Django going back to 1.11."
django__django-11885,"Combine fast delete queries
Description
	
When emulating ON DELETE CASCADE via on_delete=models.CASCADE the deletion.Collector will try to perform fast queries which are DELETE FROM table WHERE table.pk IN .... There's a few conditions required for this fast path to be taken but when this happens the collection logic should combine such queries by table to reduce the number of roundtrips to the database.
For example, given the following models
class Person(models.Model):
	friends = models.ManyToManyField('self')
class User(models.Model):
	pass
class Entry(models.Model):
	created_by = models.ForeignKey(User)
	updated_by = models.ForeignKey(User)
Issuing a person.delete() or user.delete() will result in 3 queries of the form
DELETE FROM person_friends WHERE from_id = :id
DELETE FROM person_friends WHERE to_id = :id
DELETE FROM person WHERE id = :id
DELETE FROM entry WHERE created_by_id = :id
DELETE FROM entry WHERE updated_by = :id
DELETRE FROM user WHERE id = :id
But both queries (or N queries depending on the number of foreign relationships) can be combined into a single one by using OR
DELETE FROM person_friends WHERE from_id = :id OR to_id = :id
DELETE FROM person WHERE id = :id
DELETE FROM entry WHERE created_by_id = :id OR updated_by = :id
DELETE FROM user WHERE id = :id"
django__django-11951,"bulk_create batch_size param overrides the compatible batch size calculation
Description
	 
		(last modified by Ahmet Kucuk)
	 
At this line: ​https://github.com/django/django/blob/stable/2.2.x/django/db/models/query.py#L1197
batch_size param overrides compatible batch size calculation. This looks like a bug as bulk_update properly picks the minimum of two:
​https://github.com/django/django/blob/stable/2.2.x/django/db/models/query.py#L504
I suggest using similar
 batch_size = min(batch_size, max_batch_size) if batch_size else max_batch_size
logic in bulk_create as well. I am happy to open a PR for it."
django__django-11964,"The value of a TextChoices/IntegerChoices field has a differing type
Description
	
If we create an instance of a model having a CharField or IntegerField with the keyword choices pointing to IntegerChoices or TextChoices, the value returned by the getter of the field will be of the same type as the one created by enum.Enum (enum value).
For example, this model:
from django.db import models
from django.utils.translation import gettext_lazy as _
class MyChoice(models.TextChoices):
	FIRST_CHOICE = ""first"", _(""The first choice, it is"")
	SECOND_CHOICE = ""second"", _(""The second choice, it is"")
class MyObject(models.Model):
	my_str_value = models.CharField(max_length=10, choices=MyChoice.choices)
Then this test:
from django.test import TestCase
from testing.pkg.models import MyObject, MyChoice
class EnumTest(TestCase):
	def setUp(self) -> None:
		self.my_object = MyObject.objects.create(my_str_value=MyChoice.FIRST_CHOICE)
	def test_created_object_is_str(self):
		my_object = self.my_object
		self.assertIsInstance(my_object.my_str_value, str)
		self.assertEqual(str(my_object.my_str_value), ""first"")
	def test_retrieved_object_is_str(self):
		my_object = MyObject.objects.last()
		self.assertIsInstance(my_object.my_str_value, str)
		self.assertEqual(str(my_object.my_str_value), ""first"")
And then the results:
(django30-venv) ➜ django30 ./manage.py test
Creating test database for alias 'default'...
System check identified no issues (0 silenced).
F.
======================================================================
FAIL: test_created_object_is_str (testing.tests.EnumTest)
----------------------------------------------------------------------
Traceback (most recent call last):
 File ""/Users/mikailkocak/Development/django30/testing/tests.py"", line 14, in test_created_object_is_str
	self.assertEqual(str(my_object.my_str_value), ""first"")
AssertionError: 'MyChoice.FIRST_CHOICE' != 'first'
- MyChoice.FIRST_CHOICE
+ first
----------------------------------------------------------------------
Ran 2 tests in 0.002s
FAILED (failures=1)
We notice when invoking __str__(...) we don't actually get the value property of the enum value which can lead to some unexpected issues, especially when communicating to an external API with a freshly created instance that will send MyEnum.MyValue, and the one that was retrieved would send my_value."
django__django-11999,"Cannot override get_FOO_display() in Django 2.2+.
Description
	
I cannot override the get_FIELD_display function on models since version 2.2. It works in version 2.1.
Example:
class FooBar(models.Model):
	foo_bar = models.CharField(_(""foo""), choices=[(1, 'foo'), (2, 'bar')])
	def __str__(self):
		return self.get_foo_bar_display() # This returns 'foo' or 'bar' in 2.2, but 'something' in 2.1
	def get_foo_bar_display(self):
		return ""something""
What I expect is that I should be able to override this function."
django__django-12039,"Use proper whitespace in CREATE INDEX statements
Description
	 
		(last modified by Hannes Ljungberg)
	 
Creating an index through:
index = Index(
	fields=['-name’],
	name='idx'
)
Will generate the valid but not so pretty CREATE INDEX statement: 
CREATE INDEX ""idx"" ON ""schema_author"" (""name""DESC)
The following would be expected:
CREATE INDEX ""idx"" ON ""schema_author"" (""name"" DESC)
This was partially fixed for indexes using opclasses in https://code.djangoproject.com/ticket/30903#ticket but it introduced a new quirk when opclasses is used without explicit ordering:
index = Index(
	fields=['name’],
	name='idx'
	opclasses=['text_pattern_ops’]
)
Will result in:
CREATE INDEX ""idx"" ON ""schema_author"" (“name” text_pattern_ops )
Note the whitespace after text_pattern_ops. When used with a descending order it will look correct. 
Unfortunately in the fix in #30903 it was assumed that the col_suffixes passed to django.db.backends.ddl_references.Columns would be empty for ascending order but instead it will contain empty strings and thus causing this bug. See: ​https://github.com/django/django/blob/master/django/db/backends/ddl_references.py#L87
The expected output would be:
CREATE INDEX ""idx"" ON ""schema_author"" (“name” text_pattern_ops)"
django__django-12050,"Query.resolve_lookup_value coerces value of type list to tuple
Description
	
Changes introduced in #30687 cause an input value list to be coerced to tuple breaking exact value queries. This affects ORM field types that are dependent on matching input types such as PickledField.
The expected iterable return type should match input iterable type."
